Product,Consumer complaint narrative
Debt collection,Im financially damaged because i had to hire XXXX XXXX to aid in removing this inner derogatory of my report. The statue of limitation in North Carolina is 3 years. The drop off date is XX/XX/2020 for this charge that is trying to be reinstated into my report.
"Credit reporting, credit repair services, or other personal consumer reports","On XX/XX/2020, my Fico credit score decreased due to inaccurate information. American Express has incorrect balance on my credit report and fails to report my updated correct balances to the credit bureau."
Checking or savings account,XXXX XXXX Account Closing notification Keep calling customer number and multiple visit to the branch.
Mortgage,Selene Finance increased my monthly payment by {$79.00} in the month of XXXX and did not provide any explanation or notice that this was being done. I was then charged a late fee because I paid the normal monthly payment not knowing they increased it.
Credit card or prepaid card,I see multiple 30-60 days late marks which is a clear violation of my right under the FCRA. The company has never responded to any of my attempts to obtain any proof or documentation that will prove this account is being reported accurately.
Credit reporting or other personal consumer reports,"XXXX XXXXXXXX XXXX, this account information is not correct. The last payment was XX/XX/2020, but the creditor says XX/XX/2020. It shows a balance of {$1600.00}, but they say it's {$0.00}."
Credit card,these accounts were opened fraudulently without my knowledge. I have filed an identity theft report with the FTC because I never benefited from any of the transactions from these accounts. These accounts need to be closed to prevent further use of my information and identity theft.
Debt collection,"There are many inaccuracies in my credit report. I don't recognize this CAP ONE AUTO. The Date of Last Active differently ; XXXX XX/XX/XXXX, XXXX XX/XX/XXXX. XXXX is not reporting this account. Also, if it is a charge-off account then there should be no balance on this report."
Credit card,See the attached documents. I want the bureau to start the investigation on these accounts. I am never been late on this account.
"Money transfer, virtual currency, or money service",I've been trying to go in and out of my blockchain wallet and I have not been able to since about the XXXX or XXXX of XXXX I just recently moved a large sum of XXXX into my wallet and I'm having a lot of trouble accessing it
Checking or savings account,"Capital One holding direct deposit for over XXXX after receiving deposit that was supposed to be posted on XXXX XXXXXX/XX/year>, making my account overdraft and causing major financial distress. They have not provided any solutions after multiple attempts to get answers"
Credit card or prepaid card,Chase refuses to close my credit card account and keeps sending me new credit cards.
Debt collection,"The company did not call XXXX XXXX XXXX XXXX of Montana. I ask them to resend the statement a couple of times to XXXX XXXX and they would say we had no insurance. I have insurance, they failed to bill correctly."
Debt collection,"Discover Is attempting to collect on a debt I do not owe. This debt had been paid off, and they are still showing a balance."
Credit card or prepaid card,A credit card was order using my information as fraud which resulted in a hard inquiry on my credit report. All three of my credit files had and currently still has a freeze on them so a credit card shouldn't have been able to be ordered.
Checking or savings account,"XX/XX/XXXX, {$2000.00} was sent to an account that Never provided any service. Unfortunately I was scammed"
Checking or savings account,Chime has opened accounts multiple accounts. In my name multiple times. And have been asked to close Im not sure they are they never send me anything ever.
